topik,pertanyaan
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Assalamualaikum Wr. Wb. Selamat siang. Nama saya Harun Ulum Fajar (185150207111011) mohon izin bertanya terkait proposal Skripsi berjudul (PENGEMBANGAN APLIKASI LAYANAN KESEHATAN BERBASIS WEB UNTUK HEARING SCREENING MENGGUNAKAN CLEAN ARCHITECTURE (STUDI KASUS: FAKULTAS KEDOKTERAN UNIVERSITAS BRAWIJAYA)). </p> <p>Saya telah mengirimkan proposal pada FILKOM APPS. Namun, sepertinya saya teledor karena dokumen yang telah dikirim adalah praproposal. Apakah ada prosedur yang perlu saya lakukan untuk mengubah file tersebut menjadi file proposal skripsi?<br /></p> <p>Terima kasih dan mohon maaf atas segala kekurangan.</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Selamat sore</p> <p>Saya ingin menginfromasikan bahwa saya tidak dapat mengakses tombol ""Ajukan sebagai proposal Skripsi"", karena saya terlambat mengumpulkan/ mengajukan proposal skripsi sehingga diblokir. </p> <p>Saya dengar untuk membuka blokir pada Filkom Apps tersebut perlu mendapat persetujuan dari Ketua Jurusan. Oleh karena itu, apakah terdapat alur atau form terkait hal tersebut atau langsung menghubungi Ketua Jurusan?</p> <p>Sekian, terima kasih. </p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,<p>Mohon maaf izin bertanya lagi saya kira maksimal sks yang saya ambil maksimal 21 sks dikarenakan pada filkom apps tertera seperti itu. Namun saya baru tahu hari ini kalau maksimal sks saya 24 sks. Apakah saya bisa mengajukan kembali tambah matakuliah Technorpeneurship? terima kasih</p>
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,<p>Mohon maaf izin bertanya lagi saya kira maksimal sks yang saya ambil maksimal 21 sks dikarenakan pada filkom apps tertera seperti itu. Namun saya baru tahu hari ini kalau maksimal sks saya 24 sks. Apakah saya bisa mengajukan kembali tambah matakuliah Technorpeneurship? terima kasih</p>
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,<p>Mohon maaf izin bertanya lagi saya kira maksimal sks yang saya ambil maksimal 21 sks dikarenakan pada filkom apps tertera seperti itu. Namun saya baru tahu hari ini kalau maksimal sks saya 24 sks. Apakah saya bisa mengajukan kembali tambah matakuliah Technorpeneurship? terima kasih</p>
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,<p>Mohon maaf izin bertanya lagi saya kira maksimal sks yang saya ambil maksimal 21 sks dikarenakan pada filkom apps tertera seperti itu. Namun saya baru tahu hari ini kalau maksimal sks saya 24 sks. Apakah saya bisa mengajukan kembali tambah matakuliah Technorpeneurship? terima kasih</p>
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Selamat pagi, saya I Putu Pradnyana Iswara, NIM 155150401111048, prodi SI angkatan 2015. Perihal yang ingin saya tanyakan adalah mengenai verifikasi pra proposal pada filkom apps. Seperti yang tertera pada gambar, dosen pembimbing saya yaitu Pak Ismiarta telah mengkonfirmasi bahwa beliau telah memverifikasi pra proposal saya. Namun saat ini pada filkom apps status pra proposal saya masih menunggu verifikasi, apakah masih diproses oleh sistem? Berhubung hari ini adalah hari terakhir untuk upload proposal, maka saya memastikan hal ini agar tidak terjadi keterlambatan, terimakasih</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Selamat pagi, saya Putu Pradnyana Iswara, NIM 155150401111048. Terkait progress saya yang sudah mencapai persetujuan pembimbing pada filkom apps pada jumat, 24 september lalu, maka langkah selanjutnya adalah verifikasi oleh prodi &amp; kajur yang lalu penerbitan surat tugas. Namun pada filkom apps tertera bahwa tanggal terakhir untuk penerbitan surat tugas adalah 24 September. Berhubung sekarang sudah melewati batas tanggal tersebut, maka apakah saya perlu mengurus surat permohonan atau sebagainya agar surat tugas bimbingan bisa terbit? sekian dan terimakasih</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Saya telah melakukan pengajuan skripsi dan status pada filkom apps saya saat ini adalah ""Pengerjaan Skripsi - Belum P0"". Namun saya telah melakukan P0 pada tanggal 24 September lalu. Hanya saja, dosen pembimbing pertama tidak dapat memverifikasi pelaksanaan P0 saya dikarenakan data skripsi saya tidak ditemukan pada filkom apps dosen pembimbing 1 yaitu Pak Mahardeka Tri Ananta. Jika kasusnya seperti itu bagaimana Pak/Bu? terimakasih sebelumnya</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Judul skripsi bahasa inggris saya pada filkom apps tidak sesuai dengan aslinya. Saya ingin merubah judulnya menjadi ""<em>EVALUATION AND IMPROVEMENT OF USER INTERFACE ON ARTA BARBER AND CHILL WEBSITE USING HUMAN CENTERED DESIGN (HCD)"". </em>Dan persyaratan untuk memperbaiki naskah jurnal saya adalah memperbaiki judul skripsi bahasa inggris pada filkom apps. <br /><br />Mohon Bantuannya.<br />Terima Kasih.</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Permisi, mohon maaf saya ada masalah mengenai upload proposal. Memang saya sudah melewati tenggat waktu pada jadwal skripsi di FILKOM APPS. Singkat cerita saya sudah boleh mengupload proposal hari ini lewat batas waktu jadwal pada FILKOM APPS atas ijin beliau, pak Adhitya Bhawiyuga. Tetapi setiap saya menekan tombol upload proposal selalu diarahkan kembali ke halaman awal. Mohon bantuannya. Terima Kasih</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,<p>Mengajukan verifikasi SKM pada filkom apps</p>
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Assalamualaikum wr.wb </p> <p>Perkenalkan saya Mohamad Zakaria Al Ansori, dengan Nim: 205150409111027, Mahasiswa SAP Jurusan Sistem Informasi. </p> <p>Mohon maaf menganggu waktu nya sebelumnya. Mohon izin bertanya, terkait pengisian SKM selama masa pandemi. <br />1. Apakah kita perlu datang ke kemahasiswaan dengan membawa bukti fisik sertifikatnya untuk mendapatkan approve dari pihak kemahasiswaan? <br />2. Saya memiliki beberapa sertifikat lomba baik nasional ataupun internasional namun setiap mengikuti perlombaan tersebut, saya inisiatif ikut dan menjuarainya tanpa adanya dosen pembimbing. apakah masih bisa diajukan sebagai poin SKM?<br />3. Kemudian saat saya mencoba mengisi SKM pada filkom apps, saya mendapatkan poin 0 pada beberapa kegiatan (Gambar terlampir). Terkait hal tersebut bagaimana ya Bapak/Ibu? <br />Mohon informasinya dan terima kasih</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Selamat siang</p> <p>Saya Rizky F Revaldy, mahasiswa Teknik Informatika ingin bertanya, pada Filkom Apps keterangan skripsi saya adalah verifikasi dan disuruh menghubungi operator akademik. Bagaimana cara saya untuk menghubungi operator akademiknya? Terima kasih banyak sebelumnya</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Selamat siang</p> <p>Saya Rizky F Revaldy, mahasiswa Teknik Informatika ingin bertanya, pada Filkom Apps keterangan skripsi saya adalah verifikasi dan disuruh menghubungi operator akademik. Bagaimana cara saya untuk menghubungi operator akademiknya? Terima kasih banyak sebelumnya</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Assalamualaikum wr.wb</p> <p>Perkenalkan saya Mohamad Zakaria Al Ansori, dengan Nim: 205150409111027, Mahasiswa SAP Jurusan Sistem Informasi.</p> <p>Mohon maaf menganggu waktu nya sebelumnya. Mohon izin bertanya Bapak/Ibu, terkait pendaftaran Semhas skripsi selama masa pandemi. </p> <p>1. Saya melihat pada filkom apps yang terdapat pada dokumen SC2-01 (Seperti gambar terlampir), saat melakukan pendaftaran harus menyerahkan dokumen/buku skripsi dan naskah publikasi, masing-masing sebanyak 4/5 eksemplar.. Apakah kebijakan tersebut masih berlaku saat pandemi? dan apabila peraturan telah berubah, dimanakah saya bisa melihat peraturan pendaftaran semhas skripsi yang terbaru? </p> <p>2. Pada dokumen SC2-01, syarat pendaftaran skripsi juga menyerahkan formulir pengecekan orisinalitas skripsi yang telah diuji oleh pembimbing skripsi (SB2-08). Dimanakah saya mendapatkan formulir tersebut?</p> <p>3. Berkas-berkas apa saja yang perlu saya siapkan sebelum melakukan pendaftaran semhas skripsi/sidang skripsi dimasa pandemi saat ini ? </p> <p>Mohon informasinya dan terima kasih</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Selamat Pagi, Saya Rahmat Adi Setiawan dari TIF 2014 dengan NIM 145150201111056.</p> <p>Saya ingin memohon apakah bisa untuk dibukakan kembali untuk pengisian SKM pada FILKOM Apps? Pada tanggal 13 Juli 2021 lalu, saya tidak sengaja mengajukan cetak SKM asli yang dimana poin saya masih kurang dikarenakan saya kira SKM asli diperlukan untuk syarat ujian skripsi, sementara yang diperlukan hanyalah SKM sementara. Saya ingin mengisi kembali SKM tersebut karena ada beberapa seminar/workshop yang sudah saya ikuti untuk memenuhi syarat poin SKM.</p> <p>Mohon maaf apabila saya merepotkan atas permohonan ini. Terima kasih atas perhatiannya.</p><figure><img src=""cid:u4mrvmo21mbchzckn16ns2mzitqu_j-y"" data-image=""U4MrVmo21MBchzcKn16ns2mzItqU_j-Y"" alt=""image"" /></figure>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Permisi mau bertanya, pada filkom apps untuk pendaftaran yudisium itu ada kolom Link URL Data Uji itu bagaiamana?</p> <p>Terimakasih</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Mohon maaf mengganggu, saya ingin bertanya untuk pengajuan yudisium hanya mengisi pada Filkom Apps saja dan tidak ada form yang harus diisi kan, Pak/Bu? dan pada Filkom apps ada bukti bebas tanggungan perpustakaan UB berupa pdf. Bukti tersebut bisa saya dapatkan dimana ya?<br />Terima kasih banyak sebelumnya</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Mohon maaf mengganggu, saya ingin bertanya untuk pengajuan yudisium apakah hanya mengisi pada Filkom Apps saja dan tidak ada form yang harus diisi kan, Pak/Bu? dan pada Filkom apps ada bukti bebas tanggungan perpustakaan UB berupa pdf. Bukti tersebut bisa saya dapatkan dimana ya?<br />Terima kasih banyak sebelumnya</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Selamat sore Pak, Mohon maaf menganggu waktunya.</p> <p>Saya Moch. Alvin Y.S mahasiswa prodi Teknik Komputer ingin meminta validasi SKM dari Bapak yang baru saja saya upload pada Filkom Apps, Sebagai persyaratan saya untuk melaksanakan proses Seminar hasil dan sidang Skripsi.</p> <p>Terima kasih.</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Mohon bantuannya perubahan data pada filkom apps, terimakasih</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Permisi, perkenalkan nama saya Allen dari TIF SAP 2018</p> <p>Izin bertanya untuk semua form yang terdapat pada filkom apps dari awal skripsi sampai wisuda apakah perlu di ttd semua? </p> <p>Terima kasih.</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,<p>Saya tidak bisa mengajukan semhas skripsi dan karena kelalaian saya akhirnya saya terlambat mengajukan semhas (tombol semhas pada filkom apps tidak ada) apa ada solusi ??</p>
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Saya mau bertanya, setelah ujian skripsi dan revisi, adakah berkas offline yang harus diberikan ke akademik ? Jika tidak apakah saya hanya perlu mengikuti sesuai yang ada pada filkom apps atau terdapat link lain untuk mengupload berkas lain ?</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Assalamualaikum wr.wb</p> <p>Selamat pagi. Perkenalkan saya Mohamad Zakaria Al Ansori, dengan Nim: 205150409111027, Mahasiswa SAP Jurusan Sistem Informasi.</p> <p>Mohon maaf menganggu waktu nya sebelumnya. Mohon izin bertanya Bapak/Ibu, terkait permintaan pembuatan surat keterangan expected graduation/surat telah menyelesaikan skripsi. Saya telah melaksanaan ujian skripsi pada tanggal 30 Desember 2021 dan telah keluar SK ujian pada filkom apps saya. Saat ini saya sedang melakukan pendaftaran kerja dan beasiswa untuk melanjutkan studi S2 saya ke luar negeri. Mengenai hal tersebut saya membutuhkan dokumen expected graduation untuk menjadi salah satu persyaratan pada kegiatan tersebut. Lalu bagaimanakah saya bisa mendapatkan informasi untuk mendapatkan surat keterangan expected graduation tersebut? Mohon informasinya dan terima kasih</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Yth bapak/ibu, mohon izin bertanya tentang prosedur untuk mengajukan pergantian dosen pembimbing skripsi untuk semester depan. Saya telah mengundurkan diri dari dosen sekarang dan telah menyampaikanya kepada dosen bersangkutan namun tidak ada perubahan pada filkom apps, apakah ada prosedur khusus untuk melakukan pengajuan sehingga saya dapat segera kembali memeriksa kuota dosen pembimbing yang masih tersedia di halaman praproposal. Terima kasih</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,<p>Bagaimana caranya untuk upload ulang dokumen akhir skripsi dan lembar pengesahan yang sudah ada tanda tangan lengkap dan stempel? pada filkom apps di menu yang mana? terima kasih</p>
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Assalamualaikum wr.wb</p> <p>Selamat pagi. Perkenalkan saya Mohamad Zakaria Al Ansori, dengan Nim: 205150409111027, Mahasiswa SAP Jurusan Sistem Informasi. <br />Mohon izin bertanya Bapak/Ibu, saya telah melakukan pendaftaran yudisium dan telah diverifikasi oleh pihak akademik dan sekretaris jurusan namun status pada filkom apps saya saat ini yaitu ""Penjadwalan Yudisium Belum Diproses"". Terkait hal tersebut apakah saya perlu melakukan permohonan pembebasan UKT pada bantuankeuangan.ub.ac.id agar tagihan UKT saya untuk semester depan yaitu 0 ? Mohon informasinya dan terima kasih <br /></p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p><a href=""https://drive.google.com/file/d/1c2q2aGd-3qsng-30r1nm941VqKGXW22E/view?usp=drivesdk"" target=""_blank"">Link Persetujuan Pembimbing</a></p> <p><span style=""font-size:1em"">Saya ingin mengganti judul yang tertera pada filkom apps agar sesuai dengan dokumen skripsi yang telah disetujui oleh kedua pembimbing saya pak</span><br /></p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Sudah dibenahi pak, saya mohon untuk penggantian dokumen skripsi pada filkom apps dengan dokumen yang akan saya sertakan pada link berikut yaa pak </p> <p><a href=""https://drive.google.com/drive/folders/1flxKSwGh_8TBQvsuggqiHgfROxCOr0HI?usp=sharing"" target=""_blank"">link dokumen skripsi</a></p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>ingin mengganti dokumen yang ada pada filkom apps dengan dokumen yang ada pada tautan berikut :</p> <p><a href=""https://drive.google.com/drive/folders/1flxKSwGh_8TBQvsuggqiHgfROxCOr0HI?usp=sharing"" target=""_blank"">link dokumen laura</a></p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>assalamualaikum wr wb</p> <p>Selamat sore bpk/ ibu</p> <p>Saya Helena Eka Suryati mahasiswi SAP 2017</p> <p>Mau bertanya terkait dokumen laporan pada filkom apps, ketika semhas fasilitator tidak dapat membuka dokumen laporan, tetapi saya bisa. Berhubung besok akan dilaksanakan  ujian skripsi, lalu bagaimana solusinya agar saya bisa melakukan upload ulang dokumen. Terimakasih </p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Permisi Bapak/Ibu, sebelumnya perkenalkan saya Glenando dari prodi Teknologi Informasi. Saya ingin bertanya mengenai reset password pada Filkom Apps. Apakah bisa untuk password diganti jika memiliki kendala lupa password? Terima Kasih Pak/Ibu mohon maaf menggangu waktunya.</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Selamat pagi Pak/Ibu, Mohon maaf menganggu waktu bapak/ibu sebelumnya.</p> <p>Saya Moch. Alvin Y.S mahasiswa Teknik Komputer 2016 ingin bertanya terkait dengan permintaan surat bebas tanggungan perpustakaan UB pusat yang tertutup, Di mana saya ingin meminta surat tersebut guna memenuhi persyaratan Yudisium pada Filkom Apps.</p> <p>Mohon bantuan dan arahannya, Terima kasih</p><figure><img src=""cid:fypjqfirugzawrr6bymjpv9-mj3jn3k4"" data-image=""FYPjqfIRUGzaWRr6ByMJPV9-mj3Jn3K4"" alt=""image"" /></figure>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Nama: Rivai Fansuri Nasution</p> <p>NIM: 165150200111104</p> <p>Prodi: Teknik Informatika</p> <p>Keperluan: Skripsi</p> <p>Assalamualaikum Wr. Wb.</p> <p>Selamat siang mohon maaf mengganggu waktunya.</p> <p>Nama saya Rivai Fansuri Nasution, Teknik Informatika 2016. </p> <p>Apakah data dokumen pada filkom apps masih bisa diganti/diedit?</p> <p>Karena saya baru sadar ketika mengecek ulang file dokumen di filkom apps, kalau file source code yang saya upload itu salah. Mekanisme untuk mengganti source codenya bagaimana ya pak?</p> <p></p> <p>Terimakasih</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Selamat pagi bu,<br />Saya ingin merevisi judul skripsi bahasa inggris saya pada Filkom Apps dengan data diri berikut ini: </p> <p>Nama : Muhammad Rayhan Ravandika<br />NIM :205150409111012<br />Prodi: Sistem Informasi</p> <p>Adapun revisi judul saya, </p> <p>Judul Salah: THE EFFECT OF INFORMATION AVOIDANCE <strong><u>MEDITATION</u> </strong>ON THE DISCONTINUANCE USE OF THE SOCIAL NETWORK SERVICE (SNS)</p> <p>Judul Benar: THE EFFECT OF INFORMATION AVOIDANCE <strong><u>MEDIATION </u></strong>ON THE DISCONTINUANCE USE OF THE SOCIAL NETWORK SERVICE (SNS)<br /><br />Terima kasih bu </p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Selamat pagi bu,</p> <p>Saya ingin merevisi judul skripsi bahasa inggris saya pada Filkom Apps dengan data diri berikut ini: </p> <p><br /></p> <p>Nama : Muhammad Rayhan Ravandika</p> <p>NIM :205150409111012</p> <p>Prodi: Sistem Informasi</p> <p><br /></p> <p>Adapun revisi judul saya, </p> <p><br /></p> <p>Judul Salah: THE EFFECT OF INFORMATION AVOIDANCE MEDITATION ON THE DISCONTINUANCE USE OF THE SOCIAL NETWORK SERVICE (SNS)</p> <p><br /></p> <p>Judul Benar: THE EFFECT OF INFORMATION AVOIDANCE MEDIATION ON THE DISCONTINUANCE USE OF THE SOCIAL NETWORK SERVICE (SNS)</p> <p><br /></p> <p>Terima kasih bu </p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>pembetulan judul skripsi bahasa indonesia pada filkom apps yang salah terinput yakni, HUBUNGAN ANTARA IMPLEMENTASI STRATEGI PEMBELEJARAN <em>DIRECT INSTRUCTIONAL</em> MENGGUNAKAN <em>GOOGLE CLASSROOM </em>DAN MOTIVASI BELAJAR TERHADAP HASIL BELAJAR SISWA UNTUK MATA PELAJARAN ADMINISTRASI SISTEM JARINGAN DI JURUSAN TEKNIK KOMPUTER DAN JARIGAN SMK NEGERI 2 SINGOSARI. kesalahan terjadi pada TEKNIK KOMPUTER DAN JARIGAN yang seharusnya TEKNIK KOMPUTER DAN JARINGAN.<br />demikian saya ucapkan terima kasih</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Saya sudah mengecek pada filkom apps&gt;info dokumen&gt;source code, namun filenya belum berubah</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,<p>tolong dibantu untuk dapat mengubah berkas yang salah pada filkom apps.karna dari akademik tidak dapat meerubah.</p> <p>terima kasih</p>
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Assalamualaikum wr.wb, Selamat Sore,</p> <p>Kepada Yth. Staff PSIK </p> <p>Di tempat</p> <p>Kami Faiz Hilmawan Masyfa, mahasiswa Teknologi Informasi 2018 bimbingan skripsi Bapak Tibyani dan Ibu Dany, memohon kesediaan Bapak untuk dapat membantu melakukan perubahan tempat publikasi kami pada form SC2-17. Dengan ini kami menyampaikan bahwa jurnal kami diunggah pada jurnal nasional terakreditasi sinta 2 bernama ""Matrik : Jurnal Manajemen, Teknik Informatika dan Rekayasa Komputer"". Permohonan ini telah disetujui oleh kedua pembimbing kami, sehingga kami memohon bantuan bapak untuk melakukan perubahan tersebut.<br /><br />Dengan ini kami juga menyampaikan konologis untuk melengkapi permohonan yang kami ajukan, berikut kami sertakan kronologi dari permohonan kami kepada pembimbing terkait hal ini.<br /><br />1. Pada tanggal 13 Januari kami sudah melakukan pengunggahan jurnal kami pada publisher tersebut dan sebelumnya sudah disetujui oleh kedua dosen pembimbing kami.<br />2. Selanjutnya pada tanggal 13 Januari juga kami melakukan pengajuan yudisium pada FILKOM APPS, namun pada tanggal 14 Januari kami diberi notifikasi karena terdapat ketidakseuaian tempat publikasi yang diajukan dan yang kami lampirkan pada dokumen bukti upload.<br />3. Pada tanggal 14 Januari kami segera mengajukan permohonan pada pembimbing untuk dapat dilakukan perubahan tempat publikasi, namun pembimbing pertama tidak mengetahui cara untuk melakukan perubahan tersebut.<br />4. Sehingga kami mencoba untuk menghubungi pembimbing kedua dan pada tanggal 17 hari Senin dan pembimbing kedua bersedia untuk mengajukan permohonan pada PSIK.<br />5. Pada tanggal 17 juga kami berinisiatif untuk melakukan permohonan via Halo Filkom dan tanggal 19 kami diberi arahan dari Halo Filkom untuk memohon kembali pada pembimbing.<br />6. Setelah mendapatkan informasi dari Halo FIlkom kami kami segera menghubungi kembali dosen pembimbing dan memohon bantuan untuk melakukan perubahan tempat publikasi jurnal.<br />7. Pada Hari ini, tanggal 20 Januari kami telah melakukan permohonan ulang pada pembimbing namun kami rasa pembimbing masih belum memberikan respon, oleh karenanya kami mohon bantuan untuk dapat dibantu untuk pengurusan permohonan ini.<br /><br />Demikian permohonan ini kami sampaikan, mohon maaf apabila terdapat kesalahan dari kami, terima kasih kami haturkan atas perhatian dan berkenannya untuk membantu.<br />Hormat Kami.</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>jika sudah upload foto formal pada filkom apps, apakah perlu mengirimkan foto tersebut di gedung F lantai 1 FILKOM UB? </p> <figure><img src=""cid:knnocto2jzhbnlmfng7siju3v6tsx9lk"" data-image=""knNoctO2jzHBNLMfng7sIju3V6tsx9lk"" alt=""image"" /></figure>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Pada filkom apps status saya sudah berubah menjadi ""Penjadwalan Yudisium"", apakah ini artinya saya sudah terdaftar sebagai peserta yudisium? karena pendaftaran yudisium terakhir adalah hari ini, 21-01-2022. Kemudian saya juga belum dikontak oleh cp panitia yudisium.</p><figure><img src=""cid:e7wplw7ez_5ldfuhfydkwdouemzf8te0"" data-image=""e7WPlw7ez_5lDfUHfydkWdOUEmZf8te0"" alt=""image"" /></figure> "
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Saya Adinda Chilliya Basuki dari jurusan Teknik Informatika angkatan 2017 ingin mengajukan pembebasan UKT karena saya  telah menempuh ujian Skripsi, menyelesaikan revisi dan memenuhi semua persyaratan yudisium serta saya juga sudah mengajukan yudisium pada FILKOM APPS.</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Assalamu'alaikum WR WB pak/ibu, saya Muhammad Hasbi Ashshiddiqi dari Sistem Informasi 2015, ingin memberitahukan bahwa terdapat revisi dalam pengajuan Yudisium saya, bahwa pada berkas dokumen akhir skripsi saya di filkom apps belum terdapat TTD dari Ketua Jurusan pada lembar Pengesahan di dalam skripsi, saya diharuskan untuk melakukan pengajuan upload ulang berkas dokumen akhir skripsi pada filkom apps dengan menyertakan TTD Ketua Jurusan pada lembar Pengesahan, yang mana untuk saat ini saya sudah memiliki lembar Pengesahan yang lengkap meliputi TTD Ketua Jurusan di dalam nya. Terimakasih pak/ibu atas atas waktunya, mohon maaf mengganggu.</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Assalamu'alaikum WR WB pak/ibu. Saya Muhammad Hasbi Ashshiddiqi dari Sistem informasi 2015, ingin bertanya. Pada Saat ini saya sedang melakukan tahap pengajuan Yudisium pada Filkom Apps, yang mana saat kemarin saya tidak melakukan pengajuan bantuan keuangan pada keuangan.ub.ac.id dengan batas waktu 12 Januari 2022. Saya ingin bertanya pak/ibu, pada surat dibawah ini dalam SK F15 58 Pemberitahuan potongan UKT Yudisium, terdapat potong UKT untuk kegiatan yudisium sesuai dengan tanggal penyelesaiannya kegiatan yudisium tersebut, apakah isi surat ini berlaku bagi mereka yang sudah melakukan pengajuan bantuan keuangan kemarin sampai tgl 12 januari ? atau surat ini berlaku juga bagi mereka yang tidak melakukan pengajuan bantuan keuangan ? karena saya kemarin tidak melakukan pengajuan bantuan keuangan, dikarenakan kurang mendapatkan informasi terkait. Terimakasih banyak pak/ibu.</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Assalamu'alaikum Warahmatullahi Wabarakatuh.<br /><br />Selamat siang Bapak/Ibu admin halo filkom, saya:<br />Nama: Abdullah Muhammad F<br />NIM: 135150200111040<br /><br />Saya bermaksud bertanya pak/bu mengenai status drop out pada SIAM. Saat ini saya sedang dalam proses mengajukan yudisium pada FILKOM APPS. Namun, pada SIAM status saya menjadi ""drop out"" pak/bu. Berikut saya lampirkan screenshot pada SIAM:</p><figure><img src=""cid:waqdjd4gf83njz--8gvwacnoelmsbwka"" data-image=""WaqDjD4gF83NjZ--8GVWACnoeLmsBWKA"" alt=""image"" /></figure> <p>Terkait hal ini bagaimana ya pak/bu? Apakah hal ini akan mempengaruhi proses pendaftaran yudisium saya?<br /><br />Demikian pertanyaan saya pak/bu, terima kasih atas perhatiannya.<br /><br />Wassalamu'alaikum Warahmatullahi Wabarakatuh.</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Alhamdulillah, terima kasih pak/bu. Alhamdulillah saya sudah mendaftar semua syarat pada filkom apps.</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Selamat siang Pak/Ibu, Mohon maaf menganggu waktunya sebelumnya.</p> <p>Saya Moch. Alvin Y.S mahasiswa dari prodi Teknik Komputer 2016 ingin bertanya terkait dengan status pada SIAM saya Tidak Terdaftar, Di mana saya saat ini telah melakukan penjadwalan yudisium pada Filkom Apps. Bagaimana saya dapat mengurus kelanjutan berkas-berkas yang dibutuhkan pada SIAM jika kondisi SIAM saya dalam keadaan tidak terdaftar dan dalam penjelasan SIAM saya disarankan menghubungi pihak Keuangan.</p> <p>Mohon bantuannya, Terima kasih.</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Saya sudah mengajukan pada form bantuan UKT sebelumnya tapi ditolak, karena lupa menyelipkan lampiran berita acara semhas dan sidang karena tidak ada keterangan lebih lengkap. Sedangkan teman saya, atas nama Fitria Yesisca dari program studi Teknologi Informasi belum mengajukan yudisium dan juga tidak mengajukan bantuan UKT pada sibaku tetapi status siamnya sudah aktif dan dibebaskan dari UKT pada semester ini. Sehingga, saya ingin mengajukan pembebasan UKT untuk saya karena saya telah memenuhi syarat untuk melakukan yudisium dan telah mengajukan yudisium pada FILKOM APPS. Berikut adalah bukti berupa ss status pada siam teman saya. Dan juga ada bukti ss halaman siam saya yang belum terdaftar dan halaman filkom apps saya yang sudah mengajukan yudisium. Dan saya sertakan juga surat permohonan rektor yang pernah saya upload pada sibaku</p>"
_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,"<p>Untuk revisi dari pengajuan Yudisium saya, Ini saya langsung upload berkas Dokumen Akhir Skripsi yang sudah di TTD in Ketua Jurusan dalam lembar Pengesahan pada filkom apps pak/ibu?  Terimaksih pak/ibu.</p>"
